,항목,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,법1동,법2동,신탄진동,석봉동,덕암동,목상동
79세,계,"1,246",123,68,113,125,141,144,81,101,136,66,118,30
,남,514,56,28,44,59,58,62,25,35,58,31,45,13
,여,732,67,40,69,66,83,82,56,66,78,35,73,17
80세,계,966,89,56,94,88,98,101,96,84,102,62,70,26
,남,378,42,24,39,34,44,36,32,24,44,19,31,9
,여,588,47,32,55,54,54,65,64,60,58,43,39,17
81세,계,704,70,39,89,69,75,87,51,66,51,42,51,14
,남,250,25,14,32,30,29,31,18,21,16,12,17,5
,여,454,45,25,57,39,46,56,33,45,35,30,34,9
82세,계,786,67,33,95,68,93,69,66,98,73,49,57,18
,남,290,26,9,22,30,34,35,14,22,35,24,33,6
,여,496,41,24,73,38,59,34,52,76,38,25,24,12
83세,계,696,46,33,64,67,69,94,58,77,59,49,60,20
,남,284,22,14,27,28,27,39,13,35,25,22,26,6
,여,412,24,19,37,39,42,55,45,42,34,27,34,14
84세,계,618,62,26,62,67,65,71,47,54,46,27,72,19
,남,230,30,11,23,32,22,26,15,18,9,7,28,9
,여,388,32,15,39,35,43,45,32,36,37,20,44,10
85세,계,545,38,26,58,39,65,59,54,58,55,28,47,18
,남,177,11,9,17,7,29,22,11,22,15,12,15,7
,여,368,27,17,41,32,36,37,43,36,40,16,32,11
86세,계,479,35,26,52,46,62,35,45,49,33,41,44,11
,남,154,13,3,20,17,21,10,14,10,15,12,17,2
,여,325,22,23,32,29,41,25,31,39,18,29,27,9
87세,계,375,41,14,33,41,41,35,39,37,35,22,33,4
,남,111,15,5,10,12,13,10,10,11,9,9,7,0
,여,264,26,9,23,29,28,25,29,26,26,13,26,4
88세,계,312,14,12,40,25,39,36,34,39,32,17,21,3
,남,98,4,2,12,13,13,12,10,12,12,3,4,1
,여,214,10,10,28,12,26,24,24,27,20,14,17,2
89세,계,240,26,4,22,26,24,20,21,26,26,20,20,5
,남,61,8,0,9,8,3,6,0,8,6,8,4,1
,여,179,18,4,13,18,21,14,21,18,20,12,16,4
90세,계,201,18,9,22,25,24,14,24,19,11,12,17,6
