,항목,유성구,진잠동,학하동,상대동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동
100세,계,13,2,1,0,0,0,3,1,2,0,1,2,0,1
,남,2,0,1,0,0,0,0,0,0,0,0,0,0,1
,여,11,2,0,0,0,0,3,1,2,0,1,2,0,0
101세,계,4,0,1,0,0,0,1,0,1,0,0,0,0,1
,남,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,여,3,0,1,0,0,0,0,0,1,0,0,0,0,1
102세,계,3,0,0,0,1,0,0,0,0,0,0,1,0,1
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,3,0,0,0,1,0,0,0,0,0,0,1,0,1
103세,계,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,1,0,0,0,1,0,0,0,0,0,0,0,0,0
104세,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105세,계,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,1,0,0,0,0,0,0,0,0,0,0,0,0,1
106세,계,2,0,1,0,0,0,0,0,0,0,1,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,2,0,1,0,0,0,0,0,0,0,1,0,0,0
107세,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108세,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109세,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110세 이상,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0
